Date;Lat;Lon;Dep;Mag;Place
2016.11.30;36.8927;29.2727;005.0;4.0;TASCILAR-CAMELI (DENIZLI) [ 4.94 km]
2016.11.30;36.3990;30.1732;072.7;4.0;TURUNCOVA-FINIKE (ANTALYA) [ 5.19 km]
2016.11.26;40.2567;33.3378;009.6;4.1;YESILOZ-KALECIK (ANKARA) [South East 0.7 km]
2016.11.24;38.5367;43.9115;005.0;3.9;BAGRIACIK-OZALP (VAN) [ 3.71 km]
2016.11.24;38.5125;43.9008;005.0;4.2;HAZINE-OZALP (VAN) [ 2.54 km]
2016.11.23;38.4738;43.9138;003.9;3.8;ELACMAZ-GURPINAR (VAN) [ 4.91 km]
2016.11.23;38.4965;43.9057;005.0;4.8;HAZINE-OZALP (VAN) [ 3.09 km]
2016.11.23;38.5165;43.8735;005.0;4.4;HAZINE-OZALP (VAN) [North 1.1 km]
2016.11.23;38.5513;43.8547;005.0;3.8;YUKARICAVDARLIK-OZALP (VAN) [ 2.36 km]
2016.11.23;35.6228;26.4545;028.0;3.8;AKDENIZ
2016.11.21;39.9882;38.5782;005.0;3.9;SUBASI-GOLOVA (SIVAS) [ 1.23 km]
2016.11.20;40.0277;38.5855;005.6;4.0;ILYASKOY-GOLOVA (SIVAS) [North West 0.6 km]
2016.11.19;36.0038;40.8735;011.7;4.2;SURIYE
2016.11.19;37.1117;44.4813;007.2;3.9;GELISEN-SEMDINLI (HAKKARI) [South East 4.1 km]
2016.11.15;37.2727;26.8663;004.4;3.5;ONIKI ADALAR (AKDENIZ)
2016.11.14;36.6468;26.4315;012.2;3.9;AKDENIZ
2016.11.14;36.6222;26.4265;010.8;3.8;AKDENIZ
2016.11.14;36.6307;26.4305;009.6;3.8;AKDENIZ
2016.11.10;38.8822;42.8562;004.1;3.5;YILDIZKOY-ADILCEVAZ (BITLIS) [North East 2.4 km]
2016.11.09;38.7380;27.8197;006.2;3.6;KUMKUYUCAK-SARUHANLI (MANISA) [South West 1.1 km]
2016.11.08;40.5005;37.1742;003.0;3.8;DAGUSTU-BASCIFTLIK (TOKAT) [North East 0.9 km]
2016.11.08;35.5233;27.2238;005.0;3.9;AKDENIZ
2016.11.07;38.0370;30.0897;003.2;3.5;AKTOPRAK-DINAR (AFYONKARAHISAR) [North West 1.2 km]
2016.11.06;40.7312;34.1408;010.2;3.8;EMIRSAH-BAYAT (CORUM) [South West 0.8 km]
2016.11.06;40.7278;34.1483;015.3;3.8;YENISIHLER-BAYAT (CORUM) [North West 0.5 km]
2016.11.02;38.6785;43.5548;002.3;4.0;KOZLUCA- (VAN) [ 4.27 km]
2016.11.02;40.7752;34.2982;006.6;4.1;AHLATCIK-ISKILIP (CORUM) [North West 2.4 km]
2016.11.02;40.7647;34.3108;008.8;4.7;AHLATCIK-ISKILIP (CORUM) [North West 0.7 km]
2016.11.01;36.4300;26.3857;115.2;4.0;AKDENIZ
